id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,district,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019
"53",Bengkulu,Bengkulu Utara," 3,257,580 "," 3,456,408 "," 3,677,271 "," 3,879,885 "," 4,091,949 "," 4,299,371 "," 4,514,180 "," 4,732,510 "," 4,960,303 "," 5,204,593 ",Bengkulu Utara,"0","0","0","0","0","0","0","0","0","0"
"54",East Kalimantan,Berau," 14,558,924 "," 17,725,234 "," 20,467,253 "," 22,591,474 "," 24,449,675 "," 25,902,530 "," 25,461,370 "," 26,227,292 "," 26,769,400 "," 28,275,573 ",Berau,"0","0","0","0","0","0","0","0","0","0"
"55",Papua,Biak Numfor," 2,489,807 "," 2,613,050 "," 2,800,861 "," 2,997,417 "," 3,156,013 "," 3,364,871 "," 3,501,595 "," 3,341,439 "," 3,355,450 "," 3,429,604 ",Biak Numfor,"0","0","0","0","0","0","0","0","0","0"
"56",West Nusa Tenggara ,Bima," 5,094,272 "," 5,402,245 "," 5,723,488 "," 6,016,134 "," 6,377,801 "," 6,783,723 "," 7,143,341 "," 7,590,905 "," 7,897,788 "," 8,234,045 ",Bima,"0","0","0","0","0","0","0","1","1","1"
"57",Riau Islands,Bintan," 8,891,007 "," 9,501,063 "," 10,126,483 "," 10,741,921 "," 11,424,374 "," 12,013,391 "," 12,620,121 "," 13,244,041 "," 13,886,088 "," 14,512,074 ",Bintan,"0","0","0","0","0","0","0","0","0","0"
"58",Aceh,Bireuen," 7,126,511 "," 7,397,630 "," 7,689,706 "," 7,999,504 "," 8,171,311 "," 8,481,897 "," 8,824,936 "," 9,197,931 "," 9,586,142 "," 10,065,428 ",Bireuen,"0","0","0","0","0","0","0","0","0","0"
"59",East Java,Blitar," 16,213,907 "," 17,093,902 "," 18,054,456 "," 18,967,280 "," 19,920,157 "," 20,928,474 "," 21,991,428 "," 23,107,484 "," 24,286,241 "," 25,530,112 ",Blitar,"0","0","0","0","0","0","0","0","0","0"
"60",Central Java,Blora," 10,149,080 "," 10,597,723 "," 11,116,866 "," 11,712,505 "," 12,227,201 "," 12,882,588 "," 15,914,663 "," 16,866,641 "," 17,605,216 "," 18,318,415 ",Blora,"0","0","0","0","0","0","0","0","0","0"
"61",Gorontalo,Boalemo," 1,930,377 "," 2,060,449 "," 2,213,391 "," 2,378,894 "," 2,552,688 "," 2,715,277 "," 2,886,159 "," 3,078,279 "," 3,284,064 "," 3,504,254 ",Boalemo,"0","0","0","0","0","0","0","0","0","0"
"62",West Java,Bogor," 92,931,566 "," 98,378,723 "," 104,286,981 "," 110,685,276 "," 117,339,503 "," 124,486,977 "," 131,760,367 "," 139,561,454 "," 148,203,354 "," 156,876,009 ",Bogor,"0","0","0","0","0","0","0","0","0","1"
"63",East Java,Bojonegoro," 33,291,911 "," 36,751,014 "," 38,136,127 "," 39,039,384 "," 39,934,829 "," 46,892,806 "," 57,187,374 "," 63,046,469 "," 65,815,563 "," 69,985,678 ",Bojonegoro,"0","0","0","0","0","0","0","0","0","0"
"64",North Sulawesi ,Bolaang Mongondow," 3,218,539 "," 3,306,236 "," 3,473,725 "," 3,705,498 "," 3,911,380 "," 4,139,100 "," 4,413,199 "," 4,707,459 "," 5,060,107 "," 5,459,314 ",Bolaang Mongondow,"0","0","0","0","0","0","0","0","0","0"
"65",North Sulawesi ,Bolaang Mongondow Selatan," 753,907 "," 795,897 "," 851,327 "," 912,717 "," 980,919 "," 1,039,394 "," 1,103,136 "," 1,171,959 "," 1,248,799 "," 1,328,571 ",Bolaang Mongondow Selatan,"0","0","0","0","0","0","0","0","0","0"
"66",North Sulawesi ,Bolaang Mongondow Timur," 1,113,867 "," 1,179,724 "," 1,257,668 "," 1,341,910 "," 1,435,603 "," 1,528,600 "," 1,613,814 "," 1,706,002 "," 1,792,387 "," 1,878,470 ",Bolaang Mongondow Timur ,"0","0","0","0","0","0","0","0","0","0"
"67",North Sulawesi ,Bolaang Mongondow Utara," 968,405 "," 1,020,031 "," 1,090,625 "," 1,168,295 "," 1,247,860 "," 1,320,203 "," 1,401,510 "," 1,489,523 "," 1,581,647 "," 1,679,214 ",Bolaang Mongondow Utara,"0","0","0","0","0","0","0","0","0","0"
"68",South East Sulawesi ,Bombana," 2,453,020 "," 2,669,003 "," 2,967,458 "," 3,215,132 "," 3,451,467 "," 3,717,017 "," 3,918,190 "," 4,174,328 "," 4,417,811 "," 4,682,492 ",Bombana,"0","0","0","0","0","0","0","0","0","0"
"69",East Java,Bondowoso," 8,515,883 "," 9,033,033 "," 9,583,383 "," 10,140,111 "," 10,652,435 "," 11,179,621 "," 11,735,586 "," 12,325,665 "," 12,951,515 "," 13,637,365 ",Bondowoso,"0","0","0","1","1","1","1","1","1","1"
"70",South Sulawesi ,Bone," 11,055,901 "," 11,763,801 "," 12,730,120 "," 13,531,849 "," 14,821,376 "," 16,051,871 "," 17,498,179 "," 18,970,527 "," 20,660,069 "," 22,108,039 ",Bone,"0","0","0","0","0","0","0","0","0","0"
"71",Gorontalo,Bone Bolango," 1,719,663 "," 1,838,623 "," 1,975,880 "," 2,126,545 "," 2,290,622 "," 2,439,920 "," 2,601,323 "," 2,785,645 "," 2,965,463 "," 3,153,897 ",Bone Bolango,"0","0","0","0","0","0","0","1","1","1"
"72",East Kalimantan,Bontang," 54,258,700 "," 50,234,499 "," 45,623,745 "," 43,012,336 "," 41,622,133 "," 43,437,184 "," 42,835,509 "," 43,073,056 "," 41,316,217 "," 40,427,700 ",Bontang,"0","0","0","0","0","0","0","0","0","0"
"73",Papua,Boven Digoel," 2,222,231 "," 2,307,258 "," 2,399,632 "," 2,559,254 "," 2,716,087 "," 2,862,379 "," 2,998,124 "," 3,120,159 "," 3,221,866 "," 3,275,506 ",Boven Digoel,"0","0","0","0","0","0","0","0","0","0"
"74",Central Java,Boyolali," 13,721,701 "," 14,592,026 "," 15,369,974 "," 16,266,499 "," 17,148,351 "," 18,170,384 "," 19,139,359 "," 20,248,849 "," 21,406,269 "," 22,681,098 ",Boyolali,"0","0","0","0","0","0","0","0","0","0"
"75",Central Java,Brebes," 20,158,108 "," 21,498,422 "," 22,482,263 "," 23,812,057 "," 25,074,172 "," 26,572,835 "," 27,930,986 "," 29,509,207 "," 31,060,106 "," 32,847,863 ",Brebes,"0","0","0","0","0","0","0","0","0","0"
"76",Bali,Buleleng," 13,620,230 "," 14,497,367 "," 15,480,210 "," 16,587,191 "," 17,741,753 "," 18,818,624 "," 19,950,718 "," 21,023,600 "," 22,201,448 "," 23,425,319 ",Buleleng,"1","1","1","1","1","1","1","1","1","1"
"77",South Sulawesi ,Bulukumba," 4,740,632 "," 5,000,760 "," 5,483,245 "," 5,909,291 "," 6,413,699 "," 6,774,321 "," 7,232,838 "," 7,730,913 "," 8,121,328 "," 8,567,455 ",Bulukumba,"0","0","0","0","0","0","0","0","0","0"
"78",North Kalimantan,Bulungan," 7,350,392 "," 8,011,593 "," 8,646,404 "," 9,110,271 "," 9,500,924 "," 9,716,362 "," 9,996,960 "," 10,570,934 "," 11,106,352 "," 11,628,631 ",Bulungan,"0","0","0","0","0","0","0","0","0","0"
"79",Jambi,Bungo," 7,019,663 "," 7,703,626 "," 8,446,776 "," 9,208,467 "," 9,829,561 "," 10,333,808 "," 10,891,038 "," 11,510,101 "," 12,045,804 "," 12,549,933 ",Bungo,"0","0","0","0","0","0","0","0","0","0"
"80",Central Sulawesi  ,Buol," 2,528,849 "," 2,709,916 "," 2,907,932 "," 3,121,026 "," 3,311,071 "," 3,511,814 "," 3,620,241 "," 3,765,180 "," 3,873,900 "," 3,956,652 ",Buol,"0","0","0","0","0","0","0","0","0","0"
"81",Maluku,Buru," 954,861 "," 1,006,766 "," 1,061,575 "," 1,108,483 "," 1,177,519 "," 1,239,095 "," 1,309,987 "," 1,388,751 "," 1,475,063 "," 1,564,452 ",Buru,"0","0","0","0","0","0","0","0","0","0"
