id,province,district,gi2007,gi2008,gi2009,gi2010,gi2011,gi2012,gi2013,gi2014,gi2015,gi2016,gi2017,gi2018,gi2019,gi2020,gi2021,gi2022,gi2023
74,Jawa Tengah,Boyolali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Jawa Tengah,Brebes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Bali,Buleleng,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,Sulawesi Selatan ,Bulukumba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Kalimantan Utara,Bulungan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Jambi,Bungo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Sulawesi Tengah ,Buol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Maluku,Buru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Maluku,Buru Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Sulawesi Tenggara,Buton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Sulawesi Tenggara,Buton Selatan ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Sulawesi Tenggara,Buton Tengah ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Sulawesi Tenggara,Buton Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Jawa Barat,Ciamis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Jawa Barat,Cianjur,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
89,Jawa Tengah,Cilacap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Jawa Barat,Cirebon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Sumatera Utara,Dairi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,Papua,Deiyai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Sumatera Utara,Deli Serdang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Jawa Tengah,Demak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Sumatera Barat,Dharmasraya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Papua,Dogiyai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Nusa Tenggara Barat,Dompu,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
98,Sulawesi Tengah ,Donggala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Sumatera Selatan ,Empat Lawang,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
100,Nusa Tenggara Timur ,Ende,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Sulawesi Selatan ,Enrekang,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
102,Papua Barat ,Fakfak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Nusa Tenggara Timur ,Flores Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Jawa Barat,Garut,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
105,Aceh,Gayo Lues,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,Bali,Gianyar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Gorontalo,Gorontalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Gorontalo,Gorontalo Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Sulawesi Selatan ,Gowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Jawa Timur ,Gresik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Jawa Tengah,Grobogan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,DI Yogyakarta ,Gunung Kidul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Kalimantan Tengah,Gunung Mas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Maluku  Utara ,Halmahera Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Maluku  Utara ,Halmahera Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Maluku  Utara ,Halmahera Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Maluku  Utara ,Halmahera Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Maluku  Utara ,Halmahera Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Kalimantan Selatan,Hulu Sungai Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Kalimantan Selatan,Hulu Sungai Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Kalimantan Selatan,Hulu Sungai Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Sumatera Utara,Humbang Hasundutan,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
123,Riau,Indragiri Hilir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Riau,Indragiri Hulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Jawa Barat,Indramayu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Papua,Intan Jaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Papua,Jayapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
