id,province,district,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,hdi2022,hdi2023
369,Kalimantan Utara,Nunukan,60.33,60.64,61.18,62.18,63.13,63.35,64.35,65.1,65.67,66.32,65.79,66.46,67.16,67.7
370,Sumatera Selatan ,Ogan Ilir,61.62,62.47,63.03,63.64,64.49,65.35,65.45,65.63,66.43,67.22,67.06,67.17,67.96,68.76
371,Sumatera Selatan ,Ogan Komering Ilir,61.04,61.68,62.29,63.52,63.87,64.73,65.44,66.11,66.57,66.96,66.82,67.17,68.02,68.65
372,Sumatera Selatan ,Ogan Komering Ulu,64.13,64.62,65.09,65.51,66.21,67.18,67.47,68.28,69.01,69.45,69.32,69.6,70.24,71.01
373,Sumatera Selatan ,Ogan Komering Ulu Selatan,58.88,59.74,60.63,61.58,61.94,62.57,63.42,63.96,64.84,65.43,65.3,65.34,65.87,66.67
374,Sumatera Selatan ,Ogan Komering Ulu Timur,63.36,64.27,65.18,66.09,66.74,67.17,67.38,67.84,68.58,69.34,69.28,69.58,70.23,70.96
375,Jawa Timur ,Pacitan,61.14,62.03,62.94,63.38,63.81,64.92,65.74,66.51,67.33,68.16,68.39,68.57,69.37,70.19
376,Sumatera Utara,Padang Lawas,62.45,63.28,64.05,64.62,65.5,65.99,66.23,66.82,67.59,68.16,68.25,68.64,69.58,70.34
377,Sumatera Utara,Padang Lawas Utara,64.25,65.22,65.65,66.13,66.5,67.35,68.05,68.34,68.77,69.29,69.85,70.11,70.93,71.63
378,Sumatera Barat,Padang Pariaman,65.16,65.89,66.2,67.15,67.56,68.04,68.44,68.9,69.71,70.59,70.61,70.76,71.63,72.61
379,Sumatera Utara,Pakpak Bharat,61.76,63.11,63.88,64.73,65.06,65.53,65.81,66.25,66.63,67.47,67.59,67.94,68.85,69.58
380,Jawa Timur ,Pamekasan,59.37,60.42,61.21,62.27,62.66,63.1,63.98,64.93,65.41,65.94,66.26,66.4,66.99,67.96
381,Banten,Pandeglang,59.08,59.92,60.48,61.35,62.06,62.72,63.4,63.82,64.34,64.91,65,65.17,65.84,66.42
382,Jawa Barat,Pangandaran,-,-,-,64.73,65.29,65.62,65.79,66.6,67.44,68.21,68.06,68.28,69.03,69.38
383,Sulawesi Selatan ,Pangkajene Dan,62.79,63.6,64.3,65.24,66.16,66.65,66.86,67.25,67.71,68.29,68.72,69.21,69.79,70.59
384,Papua,Paniai,52.57,53.02,53.34,53.7,53.93,54.2,54.34,54.91,55.83,56.58,56.31,56.7,57.14,57.91
385,Sulawesi Tengah ,Parigi Moutong,59.17,60.36,61.13,61.98,62.2,62.79,63.6,64.09,64.85,65.47,65.44,65.82,66.26,67.11
386,Sumatera Barat,Pasaman,60.88,61.57,62.26,62.91,63.33,64.01,64.57,64.94,65.6,66.46,66.64,66.77,67.41,68.13
387,Sumatera Barat,Pasaman Barat,61.77,62.55,63.33,63.92,64.56,65.26,66.03,66.83,67.43,68.21,68.49,68.76,69.57,70.19
388,Kalimantan Timur ,Paser,66.54,67.11,68.18,69.61,69.87,70.3,71,71.16,71.61,72.29,72.04,72.93,73.44,74.14
389,Jawa Timur ,Pasuruan,60.79,61.43,62.31,63.74,64.35,65.04,65.71,66.69,67.41,68.29,68.6,68.93,69.68,70.29
390,Jawa Tengah,Pati,65.13,65.71,66.13,66.47,66.99,68.51,69.03,70.12,70.71,71.35,71.77,72.28,73.14,73.59
391,Papua Barat ,Pegunungan Arfak,-,-,-,53.36,53.69,53.73,53.89,54.39,55.31,56.15,56.33,56.13,57.01,57.82
392,Papua,Pegunungan Bintang,35.45,36.61,37.82,38.94,39.68,40.91,41.9,43.24,44.22,45.21,45.44,46.28,47.21,48.18
393,Jawa Tengah,Pekalongan,63.75,64.72,65.33,66.26,66.98,67.4,67.71,68.4,68.97,69.71,69.63,70.11,70.81,71.4
394,Riau,Pelalawan,65.95,66.58,67.25,68.29,68.67,69.82,70.21,70.59,71.44,71.85,71.56,72.08,72.93,73.59
395,Jawa Tengah,Pemalang,58.64,59.66,60.78,61.81,62.35,63.7,64.17,65.04,65.67,66.32,66.32,66.56,67.19,68.03
396,Kalimantan Timur ,Penajam Paser Utara,66.37,66.92,67.17,68.07,68.6,69.26,69.96,70.59,71.13,71.64,71.41,72.01,72.55,73.3
397,Sumatera Selatan ,Penukal Abab Lematang Ilir,-,-,-,59.69,59.89,60.83,61.66,62.58,63.49,64.33,64.7,64.88,65.75,66.64
398,Lampung,Pesawaran,58.64,59.44,59.98,60.94,61.7,62.7,63.47,64.43,64.97,65.75,65.79,66.14,66.7,67.67
399,Lampung,Pesisir Barat,-,-,-,58.95,59.76,60.55,61.5,62.2,62.96,63.79,63.91,64.3,65.14,66
400,Sumatera Barat,Pesisir Selatan,65.09,65.8,66.49,67.31,67.75,68.07,68.39,68.74,69.4,70.08,69.9,70.03,70.84,71.44
401,Aceh,Pidie,66.75,66.95,67.3,67.59,67.87,68.68,69.06,69.52,69.93,70.41,70.63,70.7,71.2,71.66
402,Aceh,Pidie Jaya,68.38,68.69,68.9,69.26,69.89,70.49,71.13,71.73,72.12,72.87,73.2,73.6,74.34,74.8
403,Sulawesi Selatan ,Pinrang,66.25,66.96,67.64,68.14,68.92,69.24,69.42,69.9,70.62,71.12,71.26,71.45,71.97,72.84
404,Gorontalo,Pohuwato,59.11,59.85,60.48,61.38,61.74,62.5,63.17,63.88,64.44,65.27,65.37,65.8,66.53,67.15
405,Sulawesi Barat,Polewali Mandar,57.44,58.26,58.62,59.27,60.09,60.87,61.51,62.35,63.14,63.74,63.84,64.23,64.79,65.59
406,Jawa Timur ,Ponorogo,64.13,65.28,66.16,67.03,67.4,68.16,68.93,69.26,69.91,70.56,70.81,71.06,71.87,72.5
407,Kalimantan Barat,Pontianak,59.48,59.95,60.75,62.09,62.78,63.37,63.84,64,64.9,65.5,65.74,66.03,66.94,67.92
408,Sulawesi Tengah ,Poso,64.81,65.59,66.2,66.94,67.65,68.13,68.83,69.78,70.68,71.4,71.28,71.45,71.93,72.48
409,Lampung,Pringsewu,-,64.86,65.37,66.14,66.58,67.55,68.26,68.61,69.42,69.97,70.3,70.45,70.98,71.61
410,Jawa Timur ,Probolinggo,59.83,60.3,61.33,62.61,63.04,63.83,64.12,64.28,64.85,65.6,66.07,66.26,66.96,67.79
411,Kalimantan Tengah,Pulang Pisau,63.76,64.06,64.28,64.76,65,65.76,66.49,67,67.54,68.34,68.45,68.53,69.01,69.6
412,Maluku  Utara ,Pulau Morotai,-,56.63,57.16,57.97,58.34,59.27,59.87,60.71,61.39,62.38,62.5,62.9,63.8,64.73
413,Maluku  Utara ,Pulau Taliabu,-,-,-,56.86,57.31,58.26,58.66,59.03,59.67,60.62,60.48,60.73,61.64,62.31
414,Papua,Puncak,33.44,35.08,36.85,37.73,38.05,39.41,39.96,41.06,41.81,42.7,43.04,43.17,43.87,44.59
415,Papua,Puncak Jaya,38.83,40.36,41.85,43.36,44.32,44.87,45.49,46.57,47.39,48.33,48.37,48.99,49.84,50.81
416,Jawa Tengah,Purbalingga,63.61,64.33,64.94,65.53,66.23,67.03,67.48,67.72,68.41,68.99,68.97,69.15,69.54,70.24
417,Jawa Barat,Purwakarta,64.93,65.51,66.3,67.09,67.32,67.84,68.56,69.28,69.98,70.67,70.82,70.98,71.56,72.09
418,Jawa Tengah,Purworejo,68.16,69.11,69.4,69.77,70.12,70.37,70.66,71.31,71.87,72.5,72.68,72.98,73.6,74.28
419,Papua Barat ,Raja Ampat,57.36,58.37,59.06,60.36,60.86,61.23,61.95,62.35,62.84,63.66,63.89,63.92,64.65,65.26
420,Bengkulu,Rejang Lebong,64.19,64.92,65.51,66.11,66.55,67.51,68.34,68.61,69.4,70.1,70.44,70.77,71.45,72.31
421,Jawa Tengah,Rembang,64.53,65.36,66.03,66.84,67.4,68.18,68.6,68.95,69.46,70.15,70.02,70.43,71,71.89
422,Riau,Rokan Hilir,64.13,64.76,65.09,65.46,66.22,66.81,67.52,67.84,68.73,69.4,69.15,69.34,70.1,70.78
423,Riau,Rokan Hulu,63.59,64.2,64.99,66.07,67.02,67.29,67.86,68.67,69.36,69.93,69.38,69.67,70.31,71.02
424,Nusa Tenggara Timur ,Rote Ndao,54.79,55.78,56.56,57.28,57.82,58.32,59.28,60.51,61.51,62.22,62.39,62.6,63.21,64
425,Nusa Tenggara Timur ,Sabu Raijua,-,49.16,50.3,51.55,52.51,53.28,54.16,55.22,55.79,56.66,57.02,57.03,57.9,58.89
426,Kalimantan Barat,Sambas,59.81,60.57,61.53,62.47,63.28,64.14,64.94,65.92,66.61,67.02,67.03,67.1,67.95,68.69
427,Sumatera Utara,Samosir,65.14,65.81,66.31,66.8,67.8,68.43,68.82,69.43,69.99,70.55,70.63,70.83,71.67,72.08
428,Jawa Timur ,Sampang,54.49,55.17,55.78,56.45,56.98,58.18,59.09,59.9,61,61.94,62.7,62.8,63.39,64.13
429,Kalimantan Barat,Sanggau,60.57,60.96,61.39,61.72,62.06,63.05,63.9,64.61,65.15,65.67,65.77,66.2,66.91,67.77
430,Papua,Sarmi,56.98,57.96,59.03,59.51,60.48,60.99,61.27,62.31,63,63.45,63.63,63.94,64.86,65.8
431,Jambi,Sarolangun,64.64,65.2,66.16,67.13,67.67,68.1,68.73,69.03,69.41,69.72,69.86,70.25,70.89,71.29
432,Kalimantan Barat,Sekadau,59.42,59.76,60.14,61.02,61.98,62.34,62.52,63.04,63.69,64.34,64.76,64.93,65.58,66.33
433,Bengkulu,Seluma,60.27,61.01,61.55,62.1,62.94,63.41,64.04,65,65.99,66.69,66.89,67.03,67.76,68.27
434,Jawa Tengah,Semarang,69.58,70.35,70.88,71.29,71.65,71.89,72.4,73.2,73.61,74.14,74.1,74.24,74.67,75.13
435,Maluku,Seram Bagian Barat,59.9,60.59,61.47,61.79,62.39,63.02,63.76,64.34,65.14,65.49,65.62,65.83,66.67,67.56
436,Maluku,Seram Bagian Timur,57.88,58.07,58.47,58.88,59.5,60.27,61.15,62.06,62.98,63.74,64.12,64.3,65.05,65.82
437,Banten,Serang,60.96,61.97,62.97,63.57,63.97,64.61,65.12,65.6,65.93,66.38,66.7,66.82,67.75,68.39
438,Sumatera Utara,Serdang Bedagai,64.67,65.28,66.14,67.11,67.78,68.01,68.77,69.16,69.69,70.21,70.24,70.56,71.21,71.75
439,Kalimantan Tengah,Seruyan,61.6,62.16,62.39,62.81,63.49,64.77,65.4,66.14,67.04,67.57,67.58,67.67,68.24,68.68
440,Riau,Siak,69.78,70.2,70.45,70.84,71.45,72.17,72.7,73.18,73.73,74.07,73.68,73.98,74.5,74.98
441,Sulawesi Utara ,Siau Tagulandang,61.83,62.45,63.35,63.91,64.35,65,65.66,66.03,66.75,67.48,67.64,68.05,68.94,69.57
442,Sulawesi Selatan ,Sidenreng Rappang,65.54,65.88,66.19,67.15,68.14,69,69.39,69.84,70.6,71.05,71.21,71.54,72.06,72.71
443,Jawa Timur ,Sidoarjo,73.75,74.48,75.14,76.39,76.78,77.43,78.17,78.7,79.5,80.05,80.29,80.65,81.02,81.55
444,Sulawesi Tengah ,Sigi,60.81,61.76,62.88,64.1,64.64,65.35,65.95,66.72,67.66,68.16,68.12,68.49,69.05,69.93
445,Sumatera Barat,Sijunjung,62.51,62.92,63.7,64.48,64.95,65.3,66.01,66.6,66.97,67.66,67.74,67.86,68.69,69.65
446,Nusa Tenggara Timur ,Sikka,59.04,59.62,60.12,60.84,61.36,61.81,62.42,63.08,63.89,64.75,65.11,65.41,66.06,66.89
447,Sumatera Utara,Simalungun,68.8,69.03,69.79,70.28,70.89,71.24,71.48,71.83,72.49,72.98,73.25,73.4,73.77,74.29
448,Aceh,Simeulue,60.6,61.03,61.25,61.68,62.18,63.16,63.82,64.41,64.74,65.7,66.03,66.41,67.27,68.06
449,Sulawesi Selatan ,Sinjai,61.31,62.13,62.74,63.47,63.83,64.48,65.36,65.8,66.24,67.05,67.6,67.75,68.33,68.92
450,Kalimantan Barat,Sintang,59.91,60.8,61.66,62.64,63.19,64.18,64.78,65.16,66.07,66.7,66.88,66.93,67.86,68.67
451,Jawa Timur ,Situbondo,60.07,60.82,62.23,63.43,63.91,64.53,65.08,65.68,66.42,67.09,67.38,67.78,68.25,69.16
452,DI Yogyakarta ,Sleman,79.69,80.04,80.1,80.26,80.73,81.2,82.15,82.85,83.42,83.85,83.84,84,84.31,84.77
453,Sumatera Barat,Solok,64.53,65.28,65.62,66.15,66.44,67.12,67.67,67.86,68.6,69.08,69.08,69.24,70.02,70.63
454,Sumatera Barat,Solok Selatan,64.51,64.81,65.12,65.86,66.29,67.09,67.47,67.81,68.45,68.94,69.04,69.23,69.71,70.58
455,Sulawesi Selatan ,Soppeng,63.51,63.8,64.05,64.43,64.74,65.33,65.95,66.67,67.6,68.26,68.67,68.99,69.7,70.58
456,Papua Barat ,Sorong,57.56,58.56,59.18,60.86,61.23,61.86,62.42,63.42,64.32,65.29,65.74,65.77,66.69,67.49
457,Papua Barat ,Sorong Selatan,54.24,56.01,56.87,57.73,58.24,58.6,59.2,60.19,61.01,61.93,62.42,62.46,63.08,63.94
458,Jawa Tengah,Sragen,67.67,68.12,68.91,69.95,70.52,71.1,71.43,72.4,72.96,73.43,73.95,74.08,74.65,75.1
459,Jawa Barat,Subang,63.54,64.21,64.86,65.48,65.8,66.52,67.14,67.73,68.31,68.69,68.95,69.13,69.87,70.7
460,Jawa Barat,Sukabumi,60.69,61.14,62.27,63.63,64.07,64.44,65.13,65.49,66.05,66.87,66.88,67.07,67.64,68.49
461,Kalimantan Tengah,Sukamara,62.41,62.86,63.52,63.92,64.44,65.8,66.4,66.98,67.52,67.95,68.03,68.27,68.94,69.44
462,Jawa Tengah,Sukoharjo,71.53,72.34,72.81,73.22,73.76,74.53,75.06,75.56,76.07,76.84,76.98,77.13,77.94,78.65
463,Nusa Tenggara Timur ,Sumba Barat,58.5,59.33,59.98,60.55,60.9,61.36,61.85,62.3,62.91,63.56,63.53,63.83,64.43,65.22
464,Nusa Tenggara Timur ,Sumba Barat Daya,56.37,57.35,58.22,59.26,59.9,60.53,61.31,61.46,61.89,62.6,62.28,62.29,63.15,63.74
465,Nusa Tenggara Timur ,Sumba Tengah,55.35,56.21,56.66,57.25,57.6,57.91,58.52,59.39,60.07,61.01,61.53,61.8,62.71,63.48
466,Nusa Tenggara Timur ,Sumba Timur,59.94,60.43,60.89,61.44,62.04,62.54,63.22,64.19,64.65,65.34,65.52,65.74,66.17,67.05
467,Nusa Tenggara Barat,Sumbawa,60.93,61.5,61.96,62.44,62.88,63.91,64.89,65.84,66.77,67.6,67.61,68.01,68.89,69.87
468,Nusa Tenggara Barat,Sumbawa Barat,65.42,65.94,66.45,66.86,67.19,68.38,69.26,70.08,70.71,71.52,71.63,71.85,72.65,73.17
469,Jawa Barat,Sumedang,66.04,66.16,67.36,68.47,68.76,69.29,69.45,70.07,70.99,71.46,71.64,71.8,72.69,73.18
470,Jawa Timur ,Sumenep,57.27,58.7,60.08,60.84,61.43,62.38,63.42,64.28,65.25,66.22,66.43,67.04,67.87,68.61
471,Papua,Supiori,57.71,58.31,58.86,59.4,59.7,60.09,60.59,61.23,61.84,62.3,62.3,62.72,63.65,64.61
472,Kalimantan Selatan,Tabalong,65.87,66.6,67.36,68.08,68.36,69.35,70.07,70.76,71.14,71.78,72.19,72.6,73.13,73.85
473,Bali,Tabanan,70.68,71.35,71.69,72.31,72.68,73.54,74.19,74.86,75.45,76.16,76.17,76.45,76.75,77.43
474,Sulawesi Selatan ,Takalar,60.23,60.83,61.66,62.58,63.53,64.07,64.96,65.48,66.07,66.94,67.31,67.72,68.31,68.9
475,Papua Barat ,Tambrauw,-,45.97,47.18,48.69,49.4,49.77,50.35,51.01,51.95,52.9,53.45,53.71,54.63,55.55
476,Kalimantan Utara,Tana Tidung,61.16,61.92,62.91,63.79,64.7,64.92,65.64,66.26,67.05,67.79,66.97,67.76,68.6,69.2
477,Sulawesi Selatan ,Tana Toraja,62.83,63.22,63.96,64.55,65.08,65.75,66.25,66.82,67.66,68.25,68.75,69.49,69.88,70.73
478,Kalimantan Selatan,Tanah Bumbu,64.98,65.59,66.13,66.51,66.94,67.58,68.28,69.12,70.05,70.5,70.71,71,71.79,72.31
479,Sumatera Barat,Tanah Datar,66.47,66.92,67.29,68.12,68.51,69.49,70.11,70.37,71.25,72.14,72.33,72.46,73.29,73.98
480,Kalimantan Selatan,Tanah Laut,63.56,64.35,65.16,66.11,66.5,66.99,67.44,68,68.49,69.04,69.38,69.87,70.35,70.98
481,Banten,Tangerang,68.01,68.45,68.83,69.28,69.57,70.05,70.44,70.97,71.59,71.93,71.92,72.29,72.97,73.43
482,Lampung,Tanggamus,60.09,60.63,61.14,61.89,62.67,63.66,64.41,64.94,65.67,66.37,66.42,66.65,67.22,67.86
483,Jambi,Tanjung Jabung Barat,61.49,61.98,62.86,63.54,64.04,65.03,65.91,66.15,67.13,67.54,67.54,68.16,68.79,69.35
484,Jambi,Tanjung Jabung Timur,57.21,57.77,58.63,59.41,59.88,61.12,61.88,62.61,63.32,63.92,64.43,64.91,65.77,66.65
485,Sumatera Utara,Tapanuli Selatan,64.2,65.14,65.95,66.75,67.22,67.63,68.04,68.69,69.1,69.75,70.12,70.33,70.92,71.55
486,Sumatera Utara,Tapanuli Tengah,64.39,65.16,65.43,65.64,66.16,67.06,67.27,67.96,68.27,68.86,69.23,69.61,70.31,70.91
487,Sumatera Utara,Tapanuli Utara,68.43,69.24,69.83,70.5,70.7,71.32,71.96,72.38,72.91,73.33,73.47,73.76,74.14,74.65
488,Kalimantan Selatan,Tapin,64.89,65.41,65.92,66.48,66.99,67.67,68.05,68.7,69.53,70.13,70.11,70.31,71.02,72
489,Jawa Barat,Tasikmalaya,60.21,61.05,61.69,62.4,62.79,63.17,63.57,64.14,65,65.64,65.67,65.9,66.84,67.76
490,Jambi,Tebo,63.62,64.45,65.23,65.91,66.63,67.29,68.05,68.16,68.67,69.02,69.14,69.35,69.78,70.63
491,Jawa Tengah,Tegal,61.14,61.97,62.67,63.5,64.1,65.04,65.84,66.44,67.33,68.24,68.39,68.79,69.53,70.23
492,Papua Barat ,Teluk Bintuni,56.99,57.87,58.84,59.73,60.4,61.09,61.81,62.39,63.13,64,64.55,64.65,65.27,66
493,Papua Barat ,Teluk Wondama,52.97,53.74,54.69,55.65,56.27,56.64,57.16,58.1,58.86,59.82,60.21,60.33,60.87,61.67
494,Jawa Tengah,Temanggung,63.08,64.14,64.91,65.52,65.97,67.07,67.6,68.34,68.83,69.56,69.57,69.88,70.77,71.33
495,Nusa Tenggara Timur ,Timor Tengah Selatan ,55.72,56.82,57.94,58.76,59.41,59.9,60.37,61.08,61.58,62.23,62.15,62.16,62.73,63.58
496,Nusa Tenggara Timur ,Timor Tengah Utara,56.93,57.87,59.04,59.56,60.41,60.96,61.54,62.03,62.65,63.34,63.53,63.69,64.26,65.16
497,Sumatera Utara,Toba Samosir,70.9,71.39,71.89,72.36,72.79,73.4,73.61,73.87,74.48,74.92,75.16,75.39,75.96,76.38
498,Sulawesi Tengah ,Tojo Una-Una,58.33,58.87,59.55,60.32,61.15,61.33,62.27,62.61,63.38,64.52,64.59,64.74,65.54,66.39
499,Papua,Tolikara,43.44,44.41,44.86,45.68,46.16,46.38,47.11,47.89,48.85,49.68,49.5,49.6,50.51,51.48
500,Sulawesi Tengah ,Toli-Toli,58.18,59.12,60.05,61.44,61.91,62.72,63.27,64.05,64.6,65.42,65.69,66.3,66.76,67.66
501,Sulawesi Selatan ,Toraja Utara,63.51,64.48,64.89,65.65,66.15,66.76,67.49,67.9,68.49,69.23,69.33,69.75,70.36,71.23
502,Jawa Timur ,Trenggalek,63.67,64.27,65.01,65.76,66.16,67.25,67.78,68.1,68.71,69.46,69.74,70.06,71,71.73
503,Jawa Timur ,Tuban,61.33,62.47,63.36,64.14,64.58,65.52,66.19,66.77,67.43,68.37,68.4,68.91,69.67,70.34
504,Lampung,Tulang Bawang Barat,-,60.13,60.77,61.46,62.46,63.01,63.77,64.58,65.3,65.93,65.97,66.22,67.13,67.81
505,Lampung,Tulangbawang,63.21,63.67,64.11,64.91,65.83,66.08,66.74,67.07,67.7,68.23,68.52,68.73,69.53,70.02
506,Jawa Timur ,Tulungagung,67.28,67.76,68.29,69.3,69.49,70.07,70.82,71.24,71.99,72.62,73,73.15,74.06,74.61
507,Sulawesi Selatan ,Wajo,63.07,64,64.88,65.79,66.49,66.9,67.52,68.18,68.57,69.05,69.15,69.62,70.26,71.1
508,Sulawesi Tenggara,Wakatobi,63.26,64.67,65.24,66.5,66.95,67.22,67.5,67.99,68.52,68.99,69.48,69.87,70.85,71.43
509,Papua,Waropen,59.98,60.94,61.32,61.68,61.97,62.35,63.1,64.08,64.8,65.34,64.94,65.1,65.67,66.46
510,Lampung,Way Kanan,61.27,62.04,62.79,63.92,64.32,65.18,65.74,65.97,66.63,67.19,67.44,67.57,68.04,68.63
511,Jawa Tengah,Wonogiri,63.9,64.75,65.75,66.4,66.77,67.76,68.23,68.66,69.37,69.98,70.25,70.49,71.04,71.97
512,Jawa Tengah,Wonosobo,62.5,63.07,64.18,64.57,65.2,65.7,66.19,66.89,67.81,68.27,68.22,68.43,68.89,69.37
513,Papua,Yahukimo,40.63,41.72,43.82,45.63,46.36,46.63,47.13,47.95,48.51,49.25,49.37,49.48,50.25,51.19
514,Papua,Yalimo,38.47,40.45,41.84,43.33,44.21,44.32,44.95,46.19,47.13,48.08,48.34,49.01,49.9,50.87
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
