id,province,district,hdi2010,hdi2011,hdi2012,hdi2013,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018,hdi2019,hdi2020,hdi2021,hdi2022,hdi2023
78,Kalimantan Utara,Bulungan,66.79,67.63,68.16,68.66,69.25,69.37,69.88,70.74,71.23,71.66,71.1,71.8,72.08,72.72
79,Jambi,Bungo,66.28,66.7,67.2,67.54,67.93,68.34,68.77,69.04,69.42,69.86,69.92,70.15,70.55,71.06
80,Sulawesi Tengah ,Buol,62.21,63.03,63.98,64.5,65.41,65.61,66.37,66.69,67.3,67.69,67.82,68.25,68.72,69.57
81,Maluku,Buru,61.6,62.5,63.5,64.31,65.15,65.75,66.63,67.61,68.25,68.91,68.95,69.33,69.94,70.56
82,Maluku,Buru Selatan,57.3,57.98,58.91,59.89,60.74,61.48,62.19,62.75,63.62,64.42,64.69,64.8,65.37,66.23
83,Sulawesi Tenggara,Buton,59.44,60.12,61.38,61.83,62.31,62.78,63.69,64.47,65.08,65.67,65.98,66.32,67.23,68.12
84,Sulawesi Tenggara,Buton Selatan ,-,-,-,-,61.51,62,62.55,63.2,63.47,64.37,64.93,64.99,65.44,66.15
85,Sulawesi Tenggara,Buton Tengah ,-,-,-,-,61.69,62.13,62.56,62.82,63.46,64.06,64.37,64.55,65.29,65.83
86,Sulawesi Tenggara,Buton Utara,60.94,61.58,62.69,64.2,64.65,65.23,65.95,66.4,67.13,67.68,67.87,68.08,69,69.7
87,Jawa Barat,Ciamis,64.64,65.48,66.29,67.2,67.64,68.02,68.45,68.87,69.63,70.39,70.49,70.93,71.45,72.05
88,Jawa Barat,Cianjur,58.58,59.38,60.28,61.68,62.08,62.42,62.92,63.7,64.62,65.38,65.36,65.56,65.94,66.55
89,Jawa Tengah,Cilacap,64.18,64.73,65.72,66.8,67.25,67.77,68.6,68.9,69.56,69.98,69.95,70.42,70.99,71.83
90,Jawa Barat,Cirebon,63.64,64.17,64.48,65.06,65.53,66.07,66.7,67.39,68.05,68.69,68.75,69.12,70.06,70.95
91,Sumatera Utara,Dairi,65.91,66.62,66.95,67.15,67.91,69,69.61,70.36,70.89,71.42,71.57,71.84,72.56,73.27
92,Papua,Deiyai,-,46.12,46.94,47.74,48.12,48.28,48.5,49.07,49.55,50.11,49.46,49.96,50.42,51.18
93,Sumatera Utara,Deli Serdang,70.06,70.25,70.88,71.39,71.98,72.79,73.51,73.94,74.92,75.43,75.44,75.53,76.19,76.52
94,Jawa Tengah,Demak,66.02,66.84,67.55,68.38,68.95,69.75,70.1,70.41,71.26,71.87,72.22,72.57,73.36,74.07
95,Sumatera Barat,Dharmasraya,66.56,67.4,67.76,68.71,69.27,69.84,70.25,70.4,70.86,71.52,71.51,71.76,72.3,73.04
96,Papua,Dogiyai,47.48,48.48,50.59,51.46,52.25,52.78,53.32,54.04,54.44,55.41,54.84,55,55.72,56.7
97,Nusa Tenggara Barat,Dompu,61.44,61.84,62.6,63.16,63.53,64.56,65.48,66.33,66.97,67.83,67.84,68.45,69.15,69.98
98,Sulawesi Tengah ,Donggala,59.73,60.15,61.33,63.38,63.55,63.82,64.42,64.66,65.14,65.49,65.56,65.72,66.25,66.95
99,Sumatera Selatan ,Empat Lawang,61.11,61.86,62.3,62.74,63.17,63.55,64,64.21,64.81,65.1,65.25,65.39,66,66.68
100,Nusa Tenggara Timur ,Ende,61.92,62.78,63.93,64.64,65.25,65.54,65.74,66.11,66.62,67.2,67.04,67.3,67.97,68.63
101,Sulawesi Selatan ,Enrekang,66.27,67.03,67.74,68.39,69.37,70.03,70.79,71.44,72.15,72.66,72.76,72.91,73.39,73.89
102,Papua Barat ,Fakfak,60.95,61.94,62.56,64.29,64.73,64.92,65.55,66.09,66.99,67.87,68.36,68.52,69.12,69.72
103,Nusa Tenggara Timur ,Flores Timur,57.28,58.15,58.93,59.8,60.42,61.24,61.9,62.89,63.55,64.34,64.22,64.22,64.93,65.79
104,Jawa Barat,Garut,60.23,60.55,61.04,61.67,62.23,63.21,63.64,64.52,65.42,66.22,66.12,66.45,67.41,68.11
105,Aceh,Gayo Lues,60.93,61.91,62.85,63.22,63.34,63.67,64.26,65.01,65.88,66.87,67.22,67.56,68.25,68.93
106,Bali,Gianyar,71.45,72.5,73.36,74,74.29,75.03,75.7,76.09,76.71,77.14,77.36,77.7,78.39,79.24
107,Gorontalo,Gorontalo,60,61.04,61.87,62.22,62.9,63.63,64.22,64.95,65.78,66.69,66.92,67.34,68.28,69.09
108,Gorontalo,Gorontalo Utara,59.26,59.95,60.71,61.6,61.92,62.55,63.02,63.52,64.06,64.52,64.86,65.21,66.01,66.61
109,Sulawesi Selatan ,Gowa,63.83,64.42,64.65,65.45,66.12,66.87,67.7,68.33,68.87,69.66,70.14,70.29,70.99,71.57
110,Jawa Timur ,Gresik,69.9,71.11,72.12,72.47,72.84,73.57,74.46,74.84,75.28,76.1,76.11,76.5,77.16,77.98
111,Jawa Tengah,Grobogan,64.56,65.41,66.39,67.43,67.77,68.05,68.52,68.87,69.32,69.86,69.87,70.41,70.97,71.49
112,DI Yogyakarta ,Gunung Kidul,64.2,64.83,65.69,66.31,67.03,67.41,67.82,68.73,69.24,69.96,69.98,70.16,70.96,71.24
113,Kalimantan Tengah,Gunung Mas,66.33,66.85,67.3,67.75,68.13,69.24,69.73,69.95,70.23,70.65,70.81,71.03,71.4,72.09
114,Maluku  Utara ,Halmahera Barat,59.56,60.33,60.71,61.47,62.06,62.97,63.83,64.19,64.54,65.34,65.31,65.56,66.2,66.91
115,Maluku  Utara ,Halmahera Selatan,58.22,58.86,59.5,59.92,60.34,61.26,62.17,62.64,63.39,64.11,63.84,64.19,65.06,65.83
116,Maluku  Utara ,Halmahera Tengah,58.42,59.34,59.94,60.89,61.49,62.07,63.05,63.89,64.66,65.55,65.42,65.82,66.49,67.48
