id,province,district
94,Jawa Tengah,Demak
95,Sumatera Barat,Dharmasraya
96,Papua,Dogiyai
97,Nusa Tenggara Barat,Dompu
98,Sulawesi Tengah ,Donggala
99,Sumatera Selatan ,Empat Lawang
100,Nusa Tenggara Timur ,Ende
101,Sulawesi Selatan ,Enrekang
102,Papua Barat ,Fakfak
103,Nusa Tenggara Timur ,Flores Timur
104,Jawa Barat,Garut
105,Aceh,Gayo Lues
106,Bali,Gianyar
107,Gorontalo,Gorontalo
108,Gorontalo,Gorontalo Utara
109,Sulawesi Selatan ,Gowa
110,Jawa Timur ,Gresik
111,Jawa Tengah,Grobogan
112,DI Yogyakarta ,Gunung Kidul
113,Kalimantan Tengah,Gunung Mas
114,Maluku  Utara ,Halmahera Barat
115,Maluku  Utara ,Halmahera Selatan
116,Maluku  Utara ,Halmahera Tengah
117,Maluku  Utara ,Halmahera Timur
118,Maluku  Utara ,Halmahera Utara
119,Kalimantan Selatan,Hulu Sungai Selatan
120,Kalimantan Selatan,Hulu Sungai Tengah
121,Kalimantan Selatan,Hulu Sungai Utara
122,Sumatera Utara,Humbang Hasundutan
123,Riau,Indragiri Hilir
124,Riau,Indragiri Hulu
125,Jawa Barat,Indramayu
126,Papua,Intan Jaya
127,Papua,Jayapura
128,Papua,Jayawijaya
129,Jawa Timur ,Jember
130,Bali,Jembrana
131,Sulawesi Selatan ,Jeneponto
132,Jawa Tengah,Jepara
133,Jawa Timur ,Jombang
134,Papua Barat ,Kaimana
135,Riau,Kampar
136,Kalimantan Tengah,Kapuas
137,Kalimantan Barat,Kapuas Hulu
138,Bali,Karang Asem
139,Jawa Tengah,Karanganyar
140,Jawa Barat,Karawang
141,Kep. Riau,Karimun
142,Sumatera Utara,Karo
143,Kalimantan Tengah,Katingan
144,Bengkulu,Kaur
145,Kalimantan Barat,Kayong Utara
146,Jawa Tengah,Kebumen
147,Jawa Timur ,Kediri
148,Papua,Keerom
149,Jawa Tengah,Kendal
150,Bengkulu,Kepahiang
151,Sumatera Barat,Kepualauan Mentawai
152,Kep. Riau,Kepulauan Anambas
153,Maluku,Kepulauan Aru
154,Riau,Kepulauan Meranti
155,Sulawesi Utara ,Kepulauan Sangihe
156,Sulawesi Selatan ,Kepulauan Selayar
157,DKI Jakarta,Kepulauan Seribu
158,Maluku  Utara ,Kepulauan Sula
159,Sulawesi Utara ,Kepulauan Talaud
160,Papua,Kepulauan Yapen
