id,district,categorical_count_2022,mosaic_cropland_2022,rainfed_cropland_2022,sparse_vegetation_2022,categorical_urban_2022,irrigated_cropland_2022,count_2022,categorical_count_2021,mosaic_cropland_2021,rainfed_cropland_2021,sparse_vegetation_2021,categorical_urban_2021,water_bodies_2021,forest_2021,irrigated_cropland_2021,count_2021,categorical_count_2020,mosaic_cropland_2020,rainfed_cropland_2020,sparse_vegetation_2020,categorical_urban_2020,irrigated_cropland_2020,count_2020,categorical_count_2019,mosaic_cropland_2019,rainfed_cropland_2019,sparse_vegetation_2019,categorical_urban_2019,irrigated_cropland_2019,count_2019,categorical_count_2018,mosaic_cropland_2018,rainfed_cropland_2018,sparse_vegetation_2018,categorical_urban_2018,irrigated_cropland_2018,count_2018,categorical_count_2017,mosaic_cropland_2017,rainfed_cropland_2017,sparse_vegetation_2017,categorical_urban_2017,irrigated_cropland_2017,count_2017,categorical_count_2016,mosaic_cropland_2016,rainfed_cropland_2016,sparse_vegetation_2016,categorical_urban_2016,irrigated_cropland_2016,count_2016,categorical_count_2015,mosaic_cropland_2015,rainfed_cropland_2015,sparse_vegetation_2015,categorical_urban_2015,irrigated_cropland_2015,count_2015,categorical_count_2014,mosaic_cropland_2014,rainfed_cropland_2014,sparse_vegetation_2014,categorical_urban_2014,irrigated_cropland_2014,count_2014,categorical_count_2013,mosaic_cropland_2013,rainfed_cropland_2013,sparse_vegetation_2013,categorical_urban_2013,irrigated_cropland_2013,count_2013,categorical_count_2012,mosaic_cropland_2012,rainfed_cropland_2012,sparse_vegetation_2012,categorical_urban_2012,irrigated_cropland_2012,count_2012,categorical_count_2011,mosaic_cropland_2011,rainfed_cropland_2011,sparse_vegetation_2011,categorical_urban_2011,irrigated_cropland_2011,count_2011,categorical_count_2010,mosaic_cropland_2010,rainfed_cropland_2010,sparse_vegetation_2010,categorical_urban_2010,irrigated_cropland_2010,count_2010
239,Kota Prabumulih,4286,3740,398,0,127,0,4311.160156,4286,3742,421,0,102,0,21,0,4311.160156,4286,3742,432,0,91,0,4311.160156,4286,3742,432,0,91,0,4311.160156,4286,3742,432,0,91,0,4311.160156,4286,3742,432,0,91,0,4311.160156,4286,3742,432,0,91,0,4311.160156,4286,3742,432,0,91,0,4311.160156,4286,3742,465,0,58,0,4311.160156,4286,3742,482,0,41,0,4311.160156,4286,3742,484,0,39,0,4311.160156,4286,3742,484,0,39,0,4311.160156,4286,3742,484,0,39,0,4311.160156
240,Kota Probolinggo,580,104,229,0,172,0,594.3800049,580,123,259,0,123,4,71,0,594.3800049,580,127,267,0,111,0,594.3800049,580,127,267,0,105,1,594.3800049,580,127,267,0,105,1,594.3800049,580,127,267,0,105,1,594.3800049,580,127,267,0,105,1,594.3800049,580,127,267,0,105,1,594.3800049,580,130,281,0,88,1,594.3800049,580,130,296,0,70,1,594.3800049,580,130,304,0,60,1,594.3800049,580,130,306,0,58,1,594.3800049,580,130,307,0,57,1,594.3800049
241,Kota Sabang,1296,242,7,0,26,0,1320.580078,1296,242,7,0,26,48,973,0,1320.580078,1296,242,7,0,26,0,1320.580078,1296,228,7,0,26,0,1320.580078,1296,228,7,0,26,0,1320.580078,1296,228,7,0,26,0,1320.580078,1296,228,7,0,26,0,1320.580078,1296,228,7,0,26,0,1320.580078,1296,228,7,0,26,0,1320.580078,1296,231,8,0,22,0,1320.580078,1296,236,9,0,15,0,1320.580078,1296,236,9,0,15,0,1320.580078,1296,236,11,0,13,0,1320.580078
242,Kota Salatiga,570,165,41,14,129,0,572.3200073,570,179,41,17,109,0,224,0,572.3200073,570,181,41,19,104,0,572.3200073,570,181,41,19,104,0,572.3200073,570,181,41,19,104,0,572.3200073,570,181,41,19,104,0,572.3200073,570,181,41,19,104,0,572.3200073,570,181,41,19,104,0,572.3200073,570,184,43,20,97,0,572.3200073,570,185,43,23,92,0,572.3200073,570,185,43,28,87,0,572.3200073,570,186,43,30,83,0,572.3200073,570,186,43,31,82,0,572.3200073
243,Kota Samarinda,7629,4909,1721,0,640,6,7657.069824,7629,4910,1786,0,574,279,74,6,7657.069824,7629,4911,1809,0,546,6,7657.069824,7629,4913,1813,0,540,6,7657.069824,7629,4916,1815,0,536,6,7657.069824,7629,4917,1817,0,533,6,7657.069824,7629,4917,1819,0,531,6,7657.069824,7629,4919,1831,0,514,6,7657.069824,7629,4919,1883,0,461,6,7657.069824,7629,4923,1975,0,364,6,7657.069824,7629,4930,2059,0,268,6,7657.069824,7629,4931,2070,0,256,6,7657.069824,7629,4935,2094,0,222,6,7657.069824
244,Kota Sawah Lunto,2516,1613,169,2,114,2,2528.949951,2516,1614,170,2,113,2,613,2,2528.949951,2516,1631,170,2,113,2,2528.949951,2516,1644,171,2,112,2,2528.949951,2516,1696,174,2,111,2,2528.949951,2516,1696,174,2,111,2,2528.949951,2516,1691,174,2,111,2,2528.949951,2516,1688,174,2,111,2,2528.949951,2516,1689,178,2,106,2,2528.949951,2516,1680,179,2,101,2,2528.949951,2516,1654,178,2,95,2,2528.949951,2516,1655,182,2,90,2,2528.949951,2516,1652,185,2,82,2,2528.949951
245,Kota Semarang,4093,714,798,45,1743,21,4118.509766,4093,716,819,49,1713,276,499,21,4118.509766,4093,713,820,49,1710,21,4118.509766,4093,718,832,50,1679,26,4118.509766,4093,720,841,50,1668,26,4118.509766,4093,721,842,50,1666,26,4118.509766,4093,722,849,50,1658,26,4118.509766,4093,722,856,50,1650,27,4118.509766,4093,744,872,50,1609,28,4118.509766,4093,758,937,55,1522,30,4118.509766,4093,786,1041,63,1377,32,4118.509766,4093,794,1060,68,1344,33,4118.509766,4093,801,1068,70,1325,33,4118.509766
246,Kota Serang,2807,487,1046,1,944,45,2825.740234,2807,488,1071,1,918,112,172,45,2825.740234,2807,489,1083,1,905,45,2825.740234,2807,489,1126,1,854,47,2825.740234,2807,488,1129,1,851,47,2825.740234,2807,488,1129,1,851,47,2825.740234,2807,487,1129,1,850,47,2825.740234,2807,487,1130,1,849,47,2825.740234,2807,487,1137,1,842,47,2825.740234,2807,492,1140,1,839,47,2825.740234,2807,496,1145,1,834,47,2825.740234,2807,496,1152,1,827,47,2825.740234,2807,496,1162,1,817,47,2825.740234
247,Kota Sibolga,112,30,6,0,40,0,118.9499969,112,25,6,0,40,9,32,0,118.9499969,112,23,6,0,40,0,118.9499969,112,23,6,0,39,0,118.9499969,112,23,6,0,39,0,118.9499969,112,23,6,0,39,0,118.9499969,112,23,6,0,39,0,118.9499969,112,23,6,0,39,0,118.9499969,112,23,6,0,39,0,118.9499969,112,24,7,0,37,0,118.9499969,112,24,8,0,36,0,118.9499969,112,25,8,0,35,0,118.9499969,112,25,9,0,34,0,118.9499969
248,Kota Singkawang,4750,2561,748,13,205,4,4771.459961,4750,2561,758,13,195,30,1189,4,4771.459961,4750,2557,761,13,192,4,4771.459961,4750,2549,768,11,181,8,4771.459961,4750,2545,764,9,181,8,4771.459961,4750,2533,757,7,181,8,4771.459961,4750,2500,753,7,177,8,4771.459961,4750,2426,756,7,171,8,4771.459961,4750,2426,769,7,158,8,4771.459961,4750,2329,787,7,140,8,4771.459961,4750,2322,801,5,127,8,4771.459961,4750,2316,803,5,122,8,4771.459961,4750,2316,806,5,121,8,4771.459961
249,Kota Solok,642,264,108,4,95,4,651.0700684,642,264,110,4,93,0,167,4,651.0700684,642,264,110,4,93,4,651.0700684,642,264,110,4,93,4,651.0700684,642,264,110,4,93,4,651.0700684,642,256,110,4,93,4,651.0700684,642,256,109,4,93,4,651.0700684,642,255,109,4,93,4,651.0700684,642,255,111,4,91,4,651.0700684,642,255,122,4,80,4,651.0700684,642,255,129,4,73,4,651.0700684,642,255,135,4,67,4,651.0700684,642,255,139,4,63,4,651.0700684
250,Kota Sorong,3135,551,150,0,103,0,3158.550293,3135,551,152,0,99,77,2256,0,3158.550293,3135,549,154,0,96,0,3158.550293,3135,548,157,0,91,0,3158.550293,3135,544,157,0,91,0,3158.550293,3135,553,157,0,91,0,3158.550293,3135,562,157,0,90,0,3158.550293,3135,562,157,0,90,0,3158.550293,3135,565,160,0,84,0,3158.550293,3135,562,179,0,55,0,3158.550293,3135,571,188,0,36,2,3158.550293,3135,571,189,0,34,2,3158.550293,3135,568,192,0,29,2,3158.550293
251,Kota Subulussalam,12299,5785,767,2,7,16,12349.13086,12299,5717,768,2,6,27,5761,16,12349.13086,12299,5667,768,2,6,16,12349.13086,12299,5658,771,2,6,16,12349.13086,12299,5654,704,2,6,16,12349.13086,12299,5542,656,2,6,13,12349.13086,12299,5407,600,2,6,13,12349.13086,12299,5374,595,0,6,13,12349.13086,12299,5374,596,0,5,13,12349.13086,12299,5318,595,0,5,13,12349.13086,12299,5204,576,0,5,10,12349.13086,12299,5152,542,0,4,7,12349.13086,12299,5034,507,0,4,3,12349.13086
252,Kota Sukabumi,520,152,137,5,211,0,528.6900024,520,167,144,6,188,0,15,0,528.6900024,520,167,147,6,185,0,528.6900024,520,177,156,6,166,0,528.6900024,520,177,156,6,166,0,528.6900024,520,177,156,6,166,0,528.6900024,520,177,156,6,166,0,528.6900024,520,177,156,6,166,0,528.6900024,520,179,156,7,163,0,528.6900024,520,186,160,11,148,0,528.6900024,520,195,165,13,132,0,528.6900024,520,195,170,13,127,0,528.6900024,520,196,171,14,124,0,528.6900024
253,Kota Sungai Penuh,3715,624,408,0,68,0,3733.570068,3715,637,413,0,62,0,2603,0,3733.570068,3715,648,415,0,59,0,3733.570068,3715,648,418,0,56,0,3733.570068,3715,633,413,0,56,0,3733.570068,3715,617,409,0,56,0,3733.570068,3715,616,409,0,56,0,3733.570068,3715,616,409,0,56,0,3733.570068,3715,616,412,0,53,0,3733.570068,3715,641,431,0,35,0,3733.570068,3715,660,432,0,33,0,3733.570068,3715,660,432,0,33,0,3733.570068,3715,660,432,0,33,0,3733.570068
254,Kota Surabaya,3569,7,376,19,2432,17,3590.450195,3569,7,390,19,2406,548,180,19,3590.450195,3569,7,399,20,2391,19,3590.450195,3569,8,442,21,2334,24,3590.450195,3569,8,462,21,2303,26,3590.450195,3569,8,464,21,2299,26,3590.450195,3569,8,474,21,2281,26,3590.450195,3569,8,476,21,2276,29,3590.450195,3569,8,488,21,2260,29,3590.450195,3569,8,560,22,2173,29,3590.450195,3569,8,617,22,2096,36,3590.450195,3569,8,631,22,2070,42,3590.450195,3569,8,652,23,2039,42,3590.450195
255,Kota Surakarta,493,0,6,4,483,0,499.0700073,493,0,7,4,482,0,0,0,499.0700073,493,0,7,4,482,0,499.0700073,493,1,9,6,477,0,499.0700073,493,1,9,6,477,0,499.0700073,493,1,9,6,477,0,499.0700073,493,1,9,6,477,0,499.0700073,493,1,9,6,477,0,499.0700073,493,1,13,7,472,0,499.0700073,493,4,19,14,456,0,499.0700073,493,4,25,17,447,0,499.0700073,493,4,27,20,442,0,499.0700073,493,4,27,20,442,0,499.0700073
256,Kota Tangerang,1926,3,3,0,1918,0,1939.899902,1926,3,3,0,1917,3,0,0,1939.899902,1926,3,3,0,1917,0,1939.899902,1926,3,4,0,1914,0,1939.899902,1926,3,5,0,1913,0,1939.899902,1926,3,5,0,1913,0,1939.899902,1926,3,5,0,1913,0,1939.899902,1926,3,6,0,1912,0,1939.899902,1926,3,6,0,1912,0,1939.899902,1926,3,6,0,1912,0,1939.899902,1926,4,7,0,1910,0,1939.899902,1926,4,7,0,1910,0,1939.899902,1926,4,7,0,1910,0,1939.899902
257,Kota Tangerang Selatan,1754,0,10,0,1742,0,1755.830078,1754,0,10,0,1742,2,0,0,1755.830078,1754,0,10,0,1742,0,1755.830078,1754,0,11,0,1741,0,1755.830078,1754,0,11,0,1741,0,1755.830078,1754,0,11,0,1741,0,1755.830078,1754,0,11,0,1741,0,1755.830078,1754,0,11,0,1741,0,1755.830078,1754,1,11,0,1740,0,1755.830078,1754,1,11,0,1740,0,1755.830078,1754,2,11,0,1739,0,1755.830078,1754,3,11,0,1738,0,1755.830078,1754,3,12,0,1737,0,1755.830078
258,Kota Tanjung Balai,640,367,65,0,86,0,649.5,640,367,67,0,84,30,92,0,649.5,640,368,66,0,83,0,649.5,640,367,65,0,83,0,649.5,640,373,65,0,83,0,649.5,640,373,65,0,83,0,649.5,640,373,65,0,83,0,649.5,640,373,65,0,83,0,649.5,640,373,68,0,80,0,649.5,640,373,68,0,79,0,649.5,640,373,68,0,79,0,649.5,640,373,68,0,79,0,649.5,640,373,69,0,78,0,649.5
259,Kota Tanjung Pinang,1563,320,783,19,157,6,1587.02002,1563,320,800,19,138,94,186,6,1587.02002,1563,321,806,19,130,6,1587.02002,1563,322,816,19,110,7,1587.02002,1563,324,818,19,110,7,1587.02002,1563,324,820,19,108,7,1587.02002,1563,324,824,19,103,7,1587.02002,1563,324,824,19,103,7,1587.02002,1563,324,824,19,100,7,1587.02002,1563,317,824,19,88,8,1587.02002,1563,317,827,19,80,8,1587.02002,1563,317,828,19,78,8,1587.02002,1563,310,815,19,77,8,1587.02002
260,Kota Tarakan,2648,741,319,0,189,4,2662.839844,2648,741,323,0,180,221,1179,4,2662.839844,2648,737,323,0,173,5,2662.839844,2648,734,323,0,173,5,2662.839844,2648,727,323,0,173,5,2662.839844,2648,715,307,0,173,5,2662.839844,2648,715,307,0,171,7,2662.839844,2648,715,311,0,167,7,2662.839844,2648,715,313,0,165,7,2662.839844,2648,718,335,0,147,7,2662.839844,2648,718,352,0,127,7,2662.839844,2648,718,363,0,116,7,2662.839844,2648,719,368,0,109,7,2662.839844
261,Kota Tasikmalaya,1951,933,194,4,436,0,1971.330078,1951,956,198,4,409,2,382,0,1971.330078,1951,968,204,4,391,0,1971.330078,1951,975,210,11,366,0,1971.330078,1951,975,208,11,366,0,1971.330078,1951,975,208,11,366,0,1971.330078,1951,975,208,11,366,0,1971.330078,1951,975,208,11,366,0,1971.330078,1951,980,210,11,359,0,1971.330078,1951,1002,219,18,320,0,1971.330078,1951,1035,224,22,278,0,1971.330078,1951,1045,229,27,250,0,1971.330078,1951,1054,231,38,228,0,1971.330078
262,Kota Tebing Tinggi,427,153,115,0,159,0,431.9200134,427,155,120,0,152,0,0,0,431.9200134,427,155,123,0,149,0,431.9200134,427,155,123,0,149,0,431.9200134,427,155,123,0,149,0,431.9200134,427,155,123,0,149,0,431.9200134,427,155,123,0,149,0,431.9200134,427,155,123,0,149,0,431.9200134,427,159,138,0,130,0,431.9200134,427,160,143,0,124,0,431.9200134,427,161,147,0,119,0,431.9200134,427,161,153,0,113,0,431.9200134,427,161,156,0,110,0,431.9200134
263,Kota Tegal,416,8,19,1,273,6,419.0300293,416,8,19,1,273,79,30,6,419.0300293,416,8,22,1,270,6,419.0300293,416,8,36,1,256,6,419.0300293,416,8,39,1,253,6,419.0300293,416,8,39,1,253,6,419.0300293,416,8,39,1,250,9,419.0300293,416,8,39,1,249,9,419.0300293,416,8,40,1,248,9,419.0300293,416,8,40,1,246,9,419.0300293,416,8,40,1,246,9,419.0300293,416,8,40,1,246,9,419.0300293,416,8,40,2,244,9,419.0300293
264,Kota Ternate,1698,152,15,0,153,0,1731.150146,1698,163,12,0,139,53,1331,0,1731.150146,1698,169,12,0,133,0,1731.150024,1698,169,12,0,126,0,1731.150024,1698,141,12,0,126,0,1731.150024,1698,140,12,0,126,0,1731.150024,1698,132,10,0,126,0,1731.150024,1698,120,10,0,126,0,1731.150024,1698,122,10,0,124,0,1731.150024,1698,111,4,0,122,0,1731.150024,1698,112,5,0,119,0,1731.150024,1698,113,7,0,116,0,1731.150024,1698,116,7,0,112,0,1731.150024
265,Kota Tidore Kepulauan,17715,391,2,0,52,0,17806.65039,17715,399,3,0,42,83,17188,0,17806.65039,17715,379,3,0,40,0,17806.65039,17715,366,3,0,39,0,17806.65039,17715,320,2,0,39,0,17806.65039,17715,285,2,0,39,0,17806.65039,17715,283,2,0,39,0,17806.65039,17715,277,2,0,39,0,17806.65039,17715,279,2,0,35,0,17806.65039,17715,288,2,0,33,0,17806.65039,17715,288,2,0,33,0,17806.65039,17715,288,2,0,33,0,17806.65039,17715,291,2,0,32,0,17806.65039
266,Kota Tomohon,1582,643,88,0,76,0,1596.399902,1582,643,88,0,76,5,770,0,1596.399902,1582,643,89,0,75,0,1596.399902,1582,643,89,0,75,0,1596.399902,1582,639,89,0,75,0,1596.399902,1582,637,89,0,75,0,1596.399902,1582,630,89,0,75,0,1596.399902,1582,620,89,0,75,0,1596.399902,1582,622,93,0,69,0,1596.399902,1582,616,95,0,66,0,1596.399902,1582,628,99,0,62,0,1596.399902,1582,628,102,0,59,0,1596.399902,1582,628,103,0,58,0,1596.399902
267,Kota Tual,2427,664,207,21,36,0,2512.329834,2427,664,215,21,28,185,1314,0,2512.329834,2427,657,218,21,24,0,2512.329895,2427,653,218,21,24,0,2512.329895,2427,634,218,21,24,0,2512.329895,2427,607,217,21,24,0,2512.329895,2427,605,217,21,24,0,2512.329895,2427,597,216,21,24,0,2512.329895,2427,598,221,21,17,0,2512.329895,2427,580,224,21,12,0,2512.329895,2427,580,230,21,6,0,2512.329895,2427,578,230,21,6,0,2512.329895,2427,578,230,21,6,0,2512.329895
268,Kota Yogyakarta,353,0,0,0,353,0,356.769989,353,0,0,2,351,0,0,0,356.769989,353,0,0,2,351,0,356.769989,353,0,0,2,351,0,356.769989,353,0,0,2,351,0,356.769989,353,0,0,2,351,0,356.769989,353,0,0,2,351,0,356.769989,353,0,0,2,351,0,356.769989,353,0,0,2,351,0,356.769989,353,0,0,3,350,0,356.769989,353,0,0,5,348,0,356.769989,353,0,0,6,347,0,356.769989,353,0,0,6,347,0,356.769989
269,Kotawaringin Barat,88339,36442,6950,1446,124,12,88454.17969,88339,37274,6894,1446,83,950,40721,12,88454.17969,88339,37676,6871,1447,51,12,88454.19159,88339,37451,6792,1433,50,12,88454.19159,88339,36795,6785,1438,48,12,88454.19159,88339,36519,6644,1413,48,12,88454.19159,88339,36491,6616,1402,48,12,88454.19159,88339,35761,6598,974,48,12,88454.19159,88339,35761,6601,974,45,12,88454.19159,88339,36158,6567,949,39,7,88454.19159,88339,36305,6583,916,38,7,88454.19159,88339,36299,6563,907,37,7,88454.19159,88339,36127,6517,874,35,7,88454.19159
270,Kotawaringin Timur,165398,88697,16141,3601,184,5,165551.8789,165398,89014,16221,3515,117,753,55617,5,165551.8789,165398,89015,16210,3499,97,5,165551.8936,165398,88476,16037,3448,91,5,165551.8936,165398,87962,15878,3430,91,5,165551.8936,165398,88262,15763,3435,91,5,165551.8936,165398,88410,15777,3438,90,5,165551.8936,165398,87433,15770,3027,90,5,165551.8936,165398,87434,15770,3027,89,5,165551.8936,165398,87271,15806,2925,88,5,165551.8936,165398,87133,15762,2716,85,5,165551.8936,165398,86844,15706,2409,85,5,165551.8936,165398,86071,15510,2167,85,5,165551.8936
271,Kuantan Singingi,55637,33326,2783,7,24,15,55721.85547,55637,34396,2733,7,22,196,18268,15,55721.85547,55637,34808,2651,7,22,15,55721.85156,55637,34825,2618,7,21,15,55721.85156,55637,35079,2616,7,21,15,55721.85156,55637,35160,2605,7,21,15,55721.85156,55637,34982,2541,7,21,15,55721.85156,55637,34562,2423,7,21,15,55721.85156,55637,34563,2425,7,18,15,55721.85156,55637,34069,2446,7,15,15,55721.85156,55637,33799,2446,7,14,15,55721.85156,55637,33425,2439,2,14,15,55721.85156,55637,32896,2381,2,13,13,55721.85156
272,Kubu Raya,90557,14091,24279,1228,542,1,90813.88281,90557,14089,24155,1228,522,1736,48826,1,90813.88281,90557,13958,23948,1228,512,1,90813.91609,90557,13827,23775,1209,488,1,90813.91609,90557,13730,23517,1126,486,1,90813.91609,90557,13610,23305,1093,486,1,90813.91609,90557,13496,23095,956,485,1,90813.91609,90557,13032,22200,90,485,1,90813.91609,90557,13033,22211,90,473,1,90813.91609,90557,12479,21248,66,459,1,90813.91609,90557,12260,20714,65,437,1,90813.91609,90557,11948,20058,54,421,1,90813.91609,90557,11256,18503,53,413,1,90813.91609
273,Kudus,4626,642,2738,27,528,3,4649.259766,4626,644,2839,33,422,11,674,3,4649.259766,4626,610,2842,33,419,3,4649.259766,4626,610,2843,33,418,3,4649.259766,4626,610,2844,33,417,3,4649.259766,4626,610,2844,33,417,3,4649.259766,4626,610,2846,33,415,3,4649.259766,4626,610,2846,33,415,3,4649.259766,4626,611,2856,33,404,3,4649.259766,4626,602,2870,33,385,3,4649.259766,4626,602,2874,33,381,3,4649.259766,4626,595,2877,33,377,3,4649.259766,4626,595,2880,33,374,3,4649.259766
274,Kulon Progo,6108,1892,1564,33,76,5,6138.22998,6108,1893,1571,34,64,64,2477,5,6138.22998,6108,1884,1571,34,64,5,6138.22998,6108,1884,1573,34,62,5,6138.22998,6108,1881,1570,34,62,5,6138.22998,6108,1881,1546,34,62,5,6138.22998,6108,1885,1546,34,62,5,6138.22998,6108,2019,1548,34,62,5,6138.22998,6108,2019,1548,34,62,5,6138.22998,6108,2047,1551,34,56,5,6138.22998,6108,2048,1552,34,54,5,6138.22998,6108,2048,1552,34,54,5,6138.22998,6108,2058,1553,34,53,5,6138.22998
275,Kuningan,12562,4664,2933,94,1086,3,12617.63965,12562,4749,2970,101,1015,40,3684,3,12617.63965,12562,4799,2986,106,978,3,12617.63965,12562,4799,2986,106,978,3,12617.63965,12562,4751,2986,106,978,3,12617.63965,12562,4751,2986,106,978,3,12617.63965,12562,4753,2986,106,978,3,12617.63965,12562,4835,2995,106,978,3,12617.63965,12562,4854,3025,108,927,3,12617.63965,12562,4910,3045,111,896,3,12617.63965,12562,4924,3062,112,865,3,12617.63965,12562,4915,3067,118,844,3,12617.63965,12562,4932,3092,121,811,3,12617.63965
276,Kupang,54592,32195,15466,0,897,16,54735.0625,54592,32097,15481,0,882,241,5875,16,54735.0625,54592,32088,15485,0,872,16,54735.05762,54592,32106,15502,0,832,16,54735.05762,54592,32104,15513,0,784,16,54735.05762,54592,32103,15513,0,784,16,54735.05762,54592,32095,15520,0,753,16,54735.05762,54592,32120,15555,0,652,14,54735.05762,54592,32120,15556,0,651,14,54735.05762,54592,32094,15552,0,650,12,54735.05762,54592,32103,15553,0,649,12,54735.05762,54592,32088,15553,0,648,12,54735.05762,54592,32084,15554,0,647,12,54735.05762
277,Kutai Barat,143851,48406,7624,676,57,196,143959.0938,143851,49234,7424,665,56,2044,83447,196,143959.0938,143851,50290,7133,661,56,195,143959.0973,143851,50198,7059,654,51,195,143959.0973,143851,50123,6910,653,50,195,143959.0973,143851,49367,6058,635,50,15,143959.0973,143851,49216,5974,630,50,15,143959.0973,143851,49319,5178,593,50,15,143959.0973,143851,49319,5178,593,50,15,143959.0973,143851,49585,5186,593,48,15,143959.0973,143851,49565,5043,577,47,15,143959.0973,143851,49308,4767,556,45,15,143959.0973,143851,49499,4716,553,45,15,143959.0973
278,Kutai Kartanegara,265512,118804,20319,2688,506,25,266274.3398,265512,119504,20097,2658,474,7289,113302,25,266274.3398,265512,120226,19286,2591,467,25,266274.5254,265512,120446,19293,2594,396,25,266274.5254,265512,120781,19205,2545,314,25,266274.5254,265512,121188,18990,2464,223,25,266274.5254,265512,122334,19023,2459,223,25,266274.5254,265512,124569,18971,2407,217,25,266274.5254,265512,124569,18975,2407,213,25,266274.5254,265512,125685,19072,2391,167,24,266274.5254,265512,126595,19306,2386,129,24,266274.5254,265512,126963,19350,2385,116,24,266274.5254,265512,127529,19425,2373,107,24,266274.5254
279,Kutai Timur,331217,147075,12400,1310,317,16,331544.772,331217,148012,12202,1295,280,575,168481,16,331544.772,331217,148816,11934,1277,250,16,331544.7741,331217,149002,11832,1200,169,16,331544.7741,331217,149507,11651,1103,123,16,331544.7741,331217,150611,11484,1040,85,16,331544.7741,331217,152897,11466,979,85,16,331544.7741,331217,155591,11242,917,81,16,331544.7741,331217,155591,11253,917,70,16,331544.7741,331217,158591,11319,921,57,16,331544.7741,331217,159043,11333,918,53,16,331544.7741,331217,158793,11278,918,49,16,331544.7741,331217,158945,11216,922,48,16,331544.7741
280,Labuhan Batu,28792,17187,5966,106,149,0,28869.53125,28792,17266,5948,106,137,570,4765,0,28869.53125,28792,17272,5943,106,133,0,28869.52991,28792,17276,5940,106,133,0,28869.52991,28792,17324,5971,106,133,0,28869.52991,28792,17362,5980,106,133,0,28869.52991,28792,17392,5991,106,133,0,28869.52991,28792,17396,5981,106,133,0,28869.52991,28792,17398,6001,106,111,0,28869.52991,28792,17308,5917,106,101,0,28869.52991,28792,17306,5915,106,94,0,28869.52991,28792,17291,5888,106,84,0,28869.52991,28792,17241,5784,106,76,0,28869.52991
281,Labuhan Batu Selatan,32466,20857,2207,101,101,0,32533.36133,32466,20962,2217,101,97,4,9085,0,32533.36133,32466,21092,2235,101,96,0,32533.36017,32466,21097,2235,101,96,0,32533.36017,32466,21324,2250,101,96,0,32533.36017,32466,21331,2250,101,96,0,32533.36017,32466,21335,2247,101,96,0,32533.36017,32466,21331,2239,101,96,0,32533.36017,32466,21331,2243,101,92,0,32533.36017,32466,21373,2252,101,85,0,32533.36017,32466,21354,2235,101,83,0,32533.36017,32466,21227,2238,101,80,0,32533.36017,32466,21145,2240,101,77,0,32533.36017
282,Labuhan Batu Utara,37676,21595,4860,1,41,0,37765.08594,37676,21873,4876,1,40,736,10150,0,37765.08594,37676,22172,4881,1,39,0,37765.09106,37676,22166,4866,1,37,0,37765.09106,37676,22288,4867,1,37,0,37765.09106,37676,22297,4868,1,37,0,37765.09106,37676,22315,4875,1,37,0,37765.09106,37676,22282,4876,1,37,0,37765.09106,37676,22284,4876,1,35,0,37765.09106,37676,22495,4881,1,35,0,37765.09106,37676,22497,4878,0,35,0,37765.09106,37676,22472,4868,0,35,0,37765.09106,37676,22406,4867,0,33,0,37765.09106
283,Lahat,44648,20325,1271,0,172,24,44765.76172,44648,21315,1255,0,150,1,21903,24,44765.76172,44648,22363,1228,0,123,22,44765.75758,44648,22433,1232,0,106,22,44765.75758,44648,22431,1227,0,91,24,44765.75758,44648,22541,1232,0,40,37,44765.75758,44648,22480,1232,0,40,37,44765.75758,44648,22287,1231,0,40,37,44765.75758,44648,22288,1234,0,36,37,44765.75758,44648,22571,1251,0,20,37,44765.75758,44648,22543,1252,0,16,37,44765.75758,44648,22527,1252,0,16,37,44765.75758,44648,22519,1253,0,14,37,44765.75758
284,Lamandau,77118,24924,2159,175,2,0,77194.07813,77118,25817,2118,175,2,17,48987,0,77194.07813,77118,26257,2105,175,0,0,77194.06738,77118,26084,2098,175,0,0,77194.06738,77118,25914,2059,175,0,0,77194.06738,77118,26013,1867,175,0,0,77194.06738,77118,25800,1736,152,0,0,77194.06738,77118,25167,1512,114,0,0,77194.06738,77118,25167,1512,114,0,0,77194.06738,77118,25246,1466,96,0,0,77194.06738,77118,25235,1454,96,0,0,77194.06738,77118,25161,1437,93,0,0,77194.06738,77118,25127,1428,91,0,0,77194.06738
285,Lamongan,18569,474,14442,726,437,937,18641.61133,18569,474,14527,728,382,1071,442,945,18641.61133,18569,475,14564,728,355,951,18641.61133,18569,475,14579,728,333,958,18641.61133,18569,475,14579,728,333,958,18641.61133,18569,475,14579,728,330,961,18641.61133,18569,475,14580,728,327,963,18641.61133,18569,475,14581,729,325,963,18641.61133,18569,476,14603,729,300,965,18641.61133,18569,482,14681,729,198,977,18641.61133,18569,490,14721,730,133,989,18641.61133,18569,492,14727,733,119,986,18641.61133,18569,493,14729,733,113,989,18641.61133
