id,district,categorical_count_2022,mosaic_cropland_2022,rainfed_cropland_2022,sparse_vegetation_2022,categorical_urban_2022,irrigated_cropland_2022,count_2022,categorical_count_2021,mosaic_cropland_2021,rainfed_cropland_2021,sparse_vegetation_2021,categorical_urban_2021,water_bodies_2021,forest_2021,irrigated_cropland_2021,count_2021,categorical_count_2020,mosaic_cropland_2020,rainfed_cropland_2020,sparse_vegetation_2020,categorical_urban_2020,irrigated_cropland_2020,count_2020,categorical_count_2019,mosaic_cropland_2019,rainfed_cropland_2019,sparse_vegetation_2019,categorical_urban_2019,irrigated_cropland_2019,count_2019,categorical_count_2018,mosaic_cropland_2018,rainfed_cropland_2018,sparse_vegetation_2018,categorical_urban_2018,irrigated_cropland_2018,count_2018,categorical_count_2017,mosaic_cropland_2017,rainfed_cropland_2017,sparse_vegetation_2017,categorical_urban_2017,irrigated_cropland_2017,count_2017,categorical_count_2016,mosaic_cropland_2016,rainfed_cropland_2016,sparse_vegetation_2016,categorical_urban_2016,irrigated_cropland_2016,count_2016,categorical_count_2015,mosaic_cropland_2015,rainfed_cropland_2015,sparse_vegetation_2015,categorical_urban_2015,irrigated_cropland_2015,count_2015,categorical_count_2014,mosaic_cropland_2014,rainfed_cropland_2014,sparse_vegetation_2014,categorical_urban_2014,irrigated_cropland_2014,count_2014,categorical_count_2013,mosaic_cropland_2013,rainfed_cropland_2013,sparse_vegetation_2013,categorical_urban_2013,irrigated_cropland_2013,count_2013,categorical_count_2012,mosaic_cropland_2012,rainfed_cropland_2012,sparse_vegetation_2012,categorical_urban_2012,irrigated_cropland_2012,count_2012,categorical_count_2011,mosaic_cropland_2011,rainfed_cropland_2011,sparse_vegetation_2011,categorical_urban_2011,irrigated_cropland_2011,count_2011,categorical_count_2010,mosaic_cropland_2010,rainfed_cropland_2010,sparse_vegetation_2010,categorical_urban_2010,irrigated_cropland_2010,count_2010
20,Banggai Kepulauan,24910,12944,105,0,46,0,25038.24219,24910,12919,105,0,45,267,11574,0,25038.24219,24910,12863,105,0,45,0,25038.23926,24910,12731,94,0,45,0,25038.23926,24910,12785,93,0,45,0,25038.23926,24910,12804,93,0,45,0,25038.23926,24910,12876,93,0,45,0,25038.23926,24910,12855,93,0,45,0,25038.23926,24910,12856,93,0,44,0,25038.23926,24910,13600,91,0,39,0,25038.23926,24910,13638,91,0,37,0,25038.23926,24910,13623,91,0,37,0,25038.23926,24910,13610,91,0,37,0,25038.23926
21,Banggai Laut,7188,3316,31,2,44,0,7366.311035,7188,3309,31,2,43,563,3240,0,7366.311035,7188,3291,31,2,42,0,7366.309555,7188,3281,31,2,42,0,7366.309555,7188,3281,31,2,42,0,7366.309555,7188,3278,31,2,42,0,7366.309555,7188,3278,31,2,42,0,7366.309555,7188,3276,31,2,42,0,7366.309555,7188,3276,32,2,40,0,7366.309555,7188,3264,32,2,40,0,7366.309555,7188,3265,32,2,40,0,7366.309555,7188,3263,32,2,39,0,7366.309555,7188,3251,32,2,39,0,7366.309555
22,Bangka,31794,20378,6038,39,64,44,31856.64258,31794,20479,6054,39,58,244,4876,44,31856.64258,31794,20535,6031,39,50,38,31856.64014,31794,20458,6031,39,46,33,31856.64014,31794,20408,6015,39,46,27,31856.64014,31794,20307,6014,39,43,27,31856.64014,31794,20305,6015,39,43,27,31856.64014,31794,20205,6002,38,40,27,31856.64014,31794,20205,6003,38,39,27,31856.64014,31794,19854,5945,36,27,26,31856.64014,31794,19713,5835,36,12,26,31856.64014,31794,19615,5774,36,11,21,31856.64014,31794,19404,5710,36,11,19,31856.64014
23,Bangka Barat,30398,17704,4530,34,14,21,30488.33984,30398,17718,4531,34,14,251,7829,21,30488.33984,30398,17791,4570,34,13,20,30488.33942,30398,17686,4561,32,13,20,30488.33942,30398,17635,4513,31,13,20,30488.33942,30398,17566,4493,31,13,20,30488.33942,30398,17556,4481,31,13,20,30488.33942,30398,17494,4491,28,11,20,30488.33942,30398,17494,4491,28,11,20,30488.33942,30398,16776,4354,19,11,15,30488.33942,30398,16501,4267,19,11,15,30488.33942,30398,16167,4161,19,11,14,30488.33942,30398,15949,4086,19,11,14,30488.33942
24,Bangka Selatan,39052,26714,3562,103,38,8,39186.58203,39052,26701,3562,103,34,177,8466,9,39186.58203,39052,26574,3559,103,34,9,39186.58074,39052,26402,3525,90,34,9,39186.58074,39052,26401,3522,82,34,9,39186.58074,39052,26360,3533,77,34,8,39186.58074,39052,26366,3572,62,34,8,39186.58074,39052,26159,3592,42,34,8,39186.58074,39052,26159,3595,42,31,8,39186.58074,39052,25419,3524,25,26,8,39186.58074,39052,25346,3510,25,18,8,39186.58074,39052,25171,3478,25,18,7,39186.58074,39052,24866,3452,25,18,7,39186.58074
25,Bangka Tengah,22398,14689,4100,64,30,9,22486.77148,22398,14719,4106,64,23,293,3184,9,22486.77148,22398,14813,4199,64,17,9,22486.77051,22398,14754,4185,59,16,9,22486.77051,22398,14762,4189,50,13,9,22486.77051,22398,14726,4194,50,13,9,22486.77051,22398,14727,4202,50,13,9,22486.77051,22398,14705,4212,48,10,7,22486.77051,22398,14705,4214,48,8,7,22486.77051,22398,14423,4149,40,8,6,22486.77051,22398,14401,4146,40,8,6,22486.77051,22398,14266,4095,40,8,6,22486.77051,22398,14146,4075,40,8,6,22486.77051
26,Bangkalan,13829,1566,10431,1039,123,27,13866.52051,13829,1567,10466,1039,85,332,313,27,13866.52051,13829,1570,10472,1039,80,27,13866.52051,13829,1570,10473,1039,78,26,13866.52051,13829,1570,10474,1039,77,26,13866.52051,13829,1570,10474,1039,77,26,13866.52051,13829,1570,10474,1039,77,26,13866.52051,13829,1570,10476,1040,73,25,13866.52051,13829,1570,10477,1040,72,25,13866.52051,13829,1570,10496,1041,52,25,13866.52051,13829,1570,10501,1042,45,25,13866.52051,13829,1570,10502,1042,44,25,13866.52051,13829,1570,10504,1042,41,24,13866.52051
27,Bangli,5564,698,1552,76,42,0,5600.450195,5564,706,1550,76,39,181,3010,0,5600.450195,5564,707,1550,76,38,0,5600.450195,5564,712,1552,80,23,0,5600.450195,5564,713,1551,80,23,0,5600.450195,5564,713,1558,80,23,0,5600.450195,5564,713,1558,80,23,0,5600.450195,5564,727,1583,80,23,0,5600.450195,5564,727,1583,85,18,0,5600.450195,5564,729,1584,85,17,0,5600.450195,5564,729,1585,85,15,0,5600.450195,5564,727,1574,85,14,0,5600.450195,5564,727,1574,86,12,0,5600.450195
28,Banjar,49836,21661,8272,1677,192,29,49935.98828,49836,21519,8272,1679,164,809,17364,29,49935.98828,49836,21568,8278,1679,158,29,49935.98877,49836,21576,8282,1679,145,29,49935.98877,49836,21485,8280,1674,145,29,49935.98877,49836,21495,8280,1674,145,29,49935.98877,49836,21430,8284,1674,144,29,49935.98877,49836,21448,8288,1663,143,29,49935.98877,49836,21449,8298,1663,132,29,49935.98877,49836,21658,8317,1647,113,30,49935.98877,49836,21646,8333,1643,96,30,49935.98877,49836,21662,8200,1618,92,30,49935.98877,49836,21588,8089,1519,90,30,49935.98877
29,Banjarnegara,12208,4082,1455,88,70,2,12250.66992,12208,4075,1454,89,67,167,6354,2,12250.66992,12208,4023,1449,89,67,2,12250.66992,12208,4023,1449,89,67,2,12250.66992,12208,4016,1449,89,67,2,12250.66992,12208,4032,1449,89,67,2,12250.66992,12208,4070,1453,89,67,2,12250.66992,12208,4193,1459,89,67,2,12250.66992,12208,4194,1459,89,66,2,12250.66992,12208,4377,1493,89,63,2,12250.66992,12208,4354,1494,89,60,2,12250.66992,12208,4337,1494,89,59,2,12250.66992,12208,4337,1494,89,59,2,12250.66992
30,Bantaeng,4208,1233,1726,38,582,1,4241.02002,4208,1233,1726,38,582,3,625,1,4241.02002,4208,1233,1727,38,580,2,4241.02002,4208,1233,1730,38,576,3,4241.02002,4208,1221,1728,38,576,3,4241.02002,4208,1218,1725,36,576,3,4241.02002,4208,1218,1725,36,576,3,4241.02002,4208,1217,1725,36,576,3,4241.02002,4208,1218,1730,36,570,3,4241.02002,4208,1226,1751,36,562,3,4241.02002,4208,1226,1761,36,552,3,4241.02002,4208,1226,1768,36,545,3,4241.02002,4208,1226,1776,36,536,3,4241.02002
31,Bantul,5480,1957,2291,50,569,8,5520.22998,5480,1978,2316,61,517,39,560,9,5520.22998,5480,1980,2316,61,515,9,5520.22998,5480,1980,2318,67,506,9,5520.22998,5480,1980,2318,67,506,9,5520.22998,5480,1980,2318,67,506,9,5520.22998,5480,1980,2318,67,506,9,5520.22998,5480,1980,2318,67,506,9,5520.22998,5480,1982,2321,67,500,9,5520.22998,5480,2002,2353,80,435,9,5520.22998,5480,2020,2386,102,360,10,5520.22998,5480,2022,2390,105,351,10,5520.22998,5480,2025,2392,108,341,11,5520.22998
32,Banyu Asin,117018,55575,29389,1272,239,398,117260.6994,117018,55302,29392,1267,190,4766,25704,397,117260.6994,117018,55505,29307,1246,172,399,117260.7046,117018,55437,29236,1246,170,395,117260.7046,117018,55395,29246,1213,170,392,117260.7046,117018,55211,29082,1148,170,372,117260.7046,117018,55080,28903,1091,169,373,117260.7046,117018,54688,28488,974,168,364,117260.7046,117018,54688,28507,974,149,364,117260.7046,117018,54273,28299,973,108,324,117260.7046,117018,54148,28250,970,73,324,117260.7046,117018,53903,28072,957,60,321,117260.7046,117018,53721,27974,946,54,314,117260.7046
33,Banyumas,14757,4733,3661,8,514,12,14802.56934,14757,4824,3663,9,490,172,5587,12,14802.56934,14757,4819,3656,11,484,12,14802.56934,14757,4820,3657,11,480,12,14802.56934,14757,4844,3659,11,480,12,14802.56934,14757,4833,3654,11,480,12,14802.56934,14757,4835,3654,11,480,12,14802.56934,14757,4953,3666,11,480,12,14802.56934,14757,4953,3670,11,476,12,14802.56934,14757,5020,3715,28,398,12,14802.56934,14757,5020,3739,43,355,12,14802.56934,14757,5011,3738,43,355,12,14802.56934,14757,5006,3739,43,354,12,14802.56934
34,Banyuwangi,38339,9056,10397,764,528,12,38427.17969,38339,9073,10443,774,451,396,17190,12,38427.17969,38339,9095,10449,795,439,12,38427.17969,38339,9054,10428,795,430,12,38427.17969,38339,8947,10399,794,430,12,38427.17969,38339,8957,10401,794,430,12,38427.17969,38339,8956,10366,794,430,12,38427.17969,38339,9032,10424,794,430,11,38427.17969,38339,9034,10433,795,418,11,38427.17969,38339,9222,10478,799,401,2,38427.17969,38339,9225,10482,802,390,2,38427.17969,38339,9222,10475,802,389,2,38427.17969,38339,9292,10508,802,385,2,38427.17969
35,Barito Kuala,25073,11344,5257,3115,44,26,25161.66992,25073,11370,5258,3115,33,1229,3991,26,25161.66992,25073,11361,5247,3109,32,26,25161.72949,25073,11266,5228,3084,30,27,25161.72949,25073,11209,5192,2977,30,27,25161.72949,25073,11243,5182,2914,30,27,25161.72949,25073,11242,5181,2885,30,27,25161.72949,25073,11243,5181,2878,30,27,25161.72949,25073,11244,5182,2878,28,27,25161.72949,25073,11029,5043,2570,19,27,25161.72949,25073,10996,5038,2558,17,27,25161.72949,25073,10879,4935,2452,13,27,25161.72949,25073,10682,4834,1786,13,27,25161.72949
36,Barito Selatan,69891,16000,1627,1772,135,5,69981.44531,69891,15935,1613,1756,128,1364,48283,5,69981.44531,69891,15886,1611,1753,125,5,69981.45068,69891,15786,1599,1748,123,4,69981.45068,69891,15547,1584,1743,123,4,69981.45068,69891,15292,1555,1695,123,4,69981.45068,69891,15039,1515,1633,123,4,69981.45068,69891,13918,1329,1219,123,4,69981.45068,69891,13918,1329,1219,122,4,69981.45068,69891,13815,1283,1176,122,4,69981.45068,69891,13879,1292,1177,121,4,69981.45068,69891,13870,1292,1176,121,4,69981.45068,69891,14181,1266,1099,120,4,69981.45068
37,Barito Timur,34688,15092,1188,643,124,1,34746.19141,34688,15367,1185,643,124,56,17205,5,34746.19141,34688,15780,1168,641,124,5,34746.18994,34688,15793,1162,636,121,5,34746.18994,34688,15843,1175,624,115,5,34746.18994,34688,15704,1165,604,114,5,34746.18994,34688,15591,1137,573,103,5,34746.18994,34688,14682,1002,105,94,5,34746.18994,34688,14683,1008,105,85,5,34746.18994,34688,14583,955,89,64,1,34746.18994,34688,14455,944,86,30,1,34746.18994,34688,14331,912,85,28,1,34746.18994,34688,14017,891,81,28,0,34746.18994
