id,province,District_IDN,gdpc2010,gdpc2011,gdpc2012,gdpc2013,gdpc2014,gdpc2015,gdpc2016,gdpc2017,gdpc2018,gdpc2019,gdpc2020,gdpc2021,,,,,,,,
34,Central Java,Banyumas," 23,016,943 "," 24,538,596 "," 25,982,158 "," 27,793,138 "," 29,367,687 "," 31,164,876 "," 33,051,047 "," 35,147,313 "," 37,414,501 "," 39,779,321 "," 39,121,624 "," 40,686,808 ",,,,,,,,
35,East Java,Banyuwangi," 32,463,823 "," 34,720,429 "," 37,235,736 "," 39,733,620 "," 42,005,652 "," 44,529,928 "," 46,924,576 "," 49,480,442 "," 52,367,695 "," 55,274,032 "," 53,295,106 "," 55,472,571 ",,,,,,,,
36,South Kalimantan,Barito Kuala," 3,782,242 "," 3,942,442 "," 4,134,723 "," 4,304,970 "," 4,499,141 "," 4,735,916 "," 4,979,940 "," 5,268,395 "," 5,542,911 "," 5,822,273 "," 5,760,368 "," 13,037,365 ",,,,,,,,
37,Central Kalimantan,Barito Selatan," 2,694,573 "," 2,884,927 "," 3,038,441 "," 3,197,784 "," 3,367,463 "," 3,554,130 "," 3,754,055 "," 3,958,246 "," 4,160,875 "," 4,367,128 "," 4,240,610 "," 13,037,365 ",,,,,,,,
38,Central Kalimantan,Barito Timur," 3,189,866 "," 3,412,634 "," 3,618,840 "," 3,862,519 "," 4,065,159 "," 4,274,838 "," 4,509,974 "," 4,779,686 "," 5,052,798 "," 5,327,941 "," 5,182,504 "," 4,819,885 ",,,,,,,,
39,Central Kalimantan,Barito Utara," 4,231,349 "," 4,566,772 "," 4,851,164 "," 5,192,551 "," 5,410,379 "," 5,696,535 "," 6,008,577 "," 6,369,617 "," 6,748,597 "," 7,114,706 "," 6,955,410 "," 14,032,621 ",,,,,,,,
40,South Sulawesi ,Barru," 2,560,345 "," 2,768,518 "," 3,000,719 "," 3,237,001 "," 3,474,785 "," 3,694,239 "," 3,916,336 "," 4,169,984 "," 4,466,541 "," 4,797,430 "," 4,839,116 "," 5,069,995 ",,,,,,,,
41,Central Java,Batang," 9,447,328 "," 10,025,045 "," 10,488,457 "," 11,104,697 "," 11,693,897 "," 12,328,239 "," 12,948,191 "," 13,667,080 "," 14,448,626 "," 15,226,787 "," 15,031,084 "," 15,764,266 ",,,,,,,,
42,Jambi,Batang Hari," 6,840,499 "," 7,492,939 "," 8,118,646 "," 8,644,803 "," 9,298,567 "," 9,695,287 "," 10,146,145 "," 10,634,358 "," 11,147,663 "," 11,713,377 "," 11,662,607 "," 12,227,810 ",,,,,,,,
43,North Sumatera,Batu Bara," 16,121,045 "," 16,946,460 "," 17,916,356 "," 18,674,622 "," 19,458,333 "," 20,264,818 "," 21,165,038 "," 22,034,259 "," 22,998,597 "," 23,998,593 "," 23,923,645 "," 24,486,056 ",,,,,,,,
44,West Java,Bekasi," 154,347,802 "," 164,538,843 "," 175,279,802 "," 186,206,590 "," 197,163,575 "," 205,950,393 "," 215,928,364 "," 228,203,599 "," 241,949,381 "," 251,502,786 "," 242,971,394 "," 251,778,519 ",,,,,,,,
45,Bangka Belitung Islands,Belitung," 4,143,547 "," 4,389,151 "," 4,656,473 "," 4,934,002 "," 5,167,069 "," 5,400,941 "," 5,669,063 "," 5,969,672 "," 6,290,863 "," 6,500,417 "," 6,352,859 "," 6,710,007 ",,,,,,,,
46,Bangka Belitung Islands,Belitung Timur," 3,579,809 "," 3,798,788 "," 4,028,449 "," 4,258,046 "," 4,478,305 "," 4,675,207 "," 4,873,876 "," 5,110,297 "," 5,326,116 "," 5,499,978 "," 5,465,459 "," 5,714,794 ",,,,,,,,
47,East Nusa Tenggara,Belu," 1,834,493 "," 1,913,241 "," 2,014,209 "," 2,135,804 "," 2,254,667 "," 2,374,993 "," 2,511,902 "," 2,657,049 "," 2,805,711 "," 2,956,524 "," 2,968,230 "," 3,020,026 ",,,,,,,,
